Fp2-Cz,Fp1-Cz,F8-Cz,F7-Cz,F4-Cz,F3-Cz,A2-Cz,A1-Cz,T4-Cz,T3-Cz,C4-Cz,C3-Cz,T6-Cz,T5-Cz,P4-Cz,P3-Cz,O2-Cz,O1-Cz,Fz-Cz,Cz-Cz,Pz-Cz
-13.67,-0.33,-3.48,-3.83,-5.10,-0.40,10.09,11.01,3.28,8.41,-0.68,1.11,6.26,5.44,1.48,0.87,6.91,8.15,-3.69,0.00,1.02
-13.30,-0.32,-4.25,-5.01,-5.58,-0.90,11.04,9.77,3.67,8.18,-0.71,1.31,7.05,6.77,1.68,1.23,7.93,9.61,-4.31,0.00,1.55
-13.96,-0.39,-4.85,-4.99,-5.42,-1.01,13.47,8.09,4.81,6.69,-0.12,1.27,8.66,6.49,2.65,1.18,9.35,9.86,-4.82,0.00,2.46
-15.91,-1.33,-6.38,-4.96,-5.68,-1.24,14.64,7.78,4.96,5.64,-1.03,1.39,9.26,6.37,2.33,1.39,9.73,9.76,-5.80,0.00,2.94
-18.53,-3.46,-8.38,-5.10,-6.85,-1.23,13.58,6.54,3.59,5.14,-2.27,1.42,8.65,6.43,1.72,1.74,9.13,9.95,-6.85,0.00,2.86
-20.04,-4.60,-9.83,-5.85,-8.11,-1.08,12.00,3.14,1.38,4.60,-3.10,1.29,7.01,5.44,1.52,1.34,8.04,9.25,-7.12,0.00,2.86
-19.38,-3.64,-11.50,-6.33,-9.55,-1.18,10.10,2.00,-1.60,4.67,-4.10,1.43,4.92,4.56,1.00,1.10,6.47,8.47,-7.59,0.00,2.74
-18.29,-2.77,-12.91,-6.71,-11.12,-1.25,9.27,2.68,-4.64,4.50,-5.00,1.40,3.16,3.62,0.62,1.18,5.01,7.75,-8.04,0.00,2.74
-18.91,-3.39,-15.29,-7.44,-12.97,-1.49,6.86,4.32,-8.40,4.69,-6.67,1.93,0.51,3.40,-0.82,1.12,3.18,7.32,-8.15,0.00,2.38
-22.21,-5.68,-18.67,-8.70,-15.09,-2.25,3.61,6.02,-11.33,4.96,-8.29,2.45,-1.33,4.45,-2.22,1.40,2.06,8.31,-8.69,0.00,2.60
-25.88,-7.96,-20.99,-9.61,-16.61,-3.44,0.72,7.72,-13.19,5.64,-9.63,2.74,-2.82,5.93,-3.30,1.84,0.71,8.48,-9.17,0.00,2.31
-29.52,-10.55,-23.11,-10.68,-18.00,-4.63,-1.88,7.04,-15.71,4.65,-11.49,2.10,-5.22,4.68,-5.22,0.95,-2.43,6.16,-9.81,0.00,1.35
-31.69,-12.01,-25.35,-11.03,-19.18,-5.22,-4.69,4.55,-18.05,3.32,-13.35,1.26,-7.89,2.97,-7.31,-0.03,-5.34,3.64,-10.45,0.00,0.07
-31.49,-12.58,-26.73,-11.69,-20.17,-5.72,-5.99,5.40,-19.26,2.86,-14.73,1.04,-9.18,3.18,-8.37,-0.44,-6.10,2.87,-11.03,0.00,-0.36
-29.81,-11.47,-26.10,-9.36,-19.51,-4.84,-4.71,8.42,-17.61,4.31,-14.35,2.01,-7.90,4.63,-7.64,0.51,-4.44,4.22,-10.84,0.00,0.35
-28.47,-9.90,-25.17,-7.17,-18.62,-3.85,-3.92,12.65,-16.06,6.16,-13.65,3.39,-7.22,6.41,-7.22,1.82,-3.02,6.19,-11.05,0.00,1.43
-27.77,-10.00,-24.03,-9.65,-17.55,-4.99,-2.12,14.87,-14.26,7.02,-12.24,3.64,-5.99,8.22,-5.97,2.78,-2.01,8.08,-11.34,0.00,2.47
-27.01,-10.93,-22.40,-11.72,-16.14,-6.20,0.53,15.54,-11.67,8.57,-10.22,3.60,-3.79,9.28,-4.60,3.41,-0.86,9.27,-11.32,0.00,3.52
-25.75,-11.41,-19.88,-11.88,-14.58,-6.58,3.87,14.60,-8.62,9.99,-8.30,2.55,-1.50,8.55,-3.12,3.15,0.33,9.10,-10.93,0.00,3.65
-24.79,-10.47,-17.31,-11.06,-13.15,-6.26,7.19,14.06,-5.85,10.85,-6.43,1.63,0.70,8.08,-1.20,3.09,2.02,9.53,-10.20,0.00,4.01
-23.68,-9.53,-16.17,-9.56,-12.07,-6.21,7.85,13.00,-4.17,11.29,-5.37,0.97,0.96,6.96,-0.42,2.46,2.35,8.32,-9.88,0.00,3.94
-22.58,-9.28,-14.46,-8.60,-11.11,-6.54,6.65,10.85,-2.84,10.48,-4.71,0.82,0.08,5.28,-0.50,1.39,1.75,6.40,-9.03,0.00,3.84
-21.78,-9.38,-12.42,-8.59,-10.34,-6.43,5.66,8.32,-1.23,9.13,-4.25,0.81,-0.90,3.40,-0.95,0.43,0.15,4.35,-7.83,0.00,3.48
-21.56,-9.69,-10.98,-10.44,-9.65,-6.64,4.38,5.10,-0.38,6.85,-3.91,-0.09,-2.19,1.23,-1.54,-0.77,-1.33,2.02,-7.27,0.00,2.41
-21.02,-9.82,-9.32,-12.04,-8.72,-7.17,3.76,1.52,0.56,4.04,-3.45,-0.93,-2.83,-0.91,-2.08,-2.13,-1.85,0.29,-6.98,0.00,1.22
-20.25,-8.97,-8.62,-13.27,-8.14,-7.59,1.83,-5.69,0.61,1.18,-3.57,-1.73,-3.59,-3.26,-2.75,-3.08,-3.14,-1.02,-6.66,0.00,-0.03
-20.09,-8.72,-8.65,-13.09,-7.76,-7.71,1.15,-13.98,0.94,-1.05,-3.11,-2.01,-3.59,-5.40,-2.74,-3.60,-3.72,-1.71,-6.72,0.00,-0.38
-21.35,-9.80,-8.08,-13.03,-8.09,-8.05,2.81,-18.62,2.28,-2.68,-1.78,-2.38,-1.98,-7.45,-2.08,-3.79,-3.16,-2.12,-6.80,0.00,-0.58
-22.89,-11.48,-7.15,-14.61,-8.10,-8.62,3.87,-18.17,3.11,-3.29,-0.96,-2.57,-1.24,-8.00,-1.54,-3.62,-3.05,-2.34,-6.81,0.00,-0.61
-23.11,-11.61,-7.33,-16.40,-8.04,-8.79,1.86,-15.11,1.57,-3.03,-1.31,-2.51,-2.99,-7.89,-2.62,-4.07,-4.05,-3.13,-6.45,0.00,-1.23
-23.69,-12.03,-8.45,-19.43,-8.56,-10.14,0.93,-9.14,0.23,-2.55,-2.00,-2.84,-3.56,-6.15,-3.18,-3.66,-3.66,-2.62,-6.97,0.00,-1.46
-23.79,-12.54,-8.71,-21.06,-8.62,-11.67,1.32,-2.13,-0.02,-2.61,-1.67,-2.82,-3.69,-5.50,-3.75,-4.12,-3.49,-2.87,-7.58,0.00,-1.67
-22.39,-11.47,-7.48,-20.01,-7.74,-11.87,1.22,-1.14,0.84,-3.23,-0.87,-2.65,-3.99,-7.65,-3.79,-5.16,-3.78,-4.11,-6.99,0.00,-1.44
-21.28,-10.91,-6.81,-18.76,-7.28,-11.34,0.67,-6.20,1.88,-3.96,0.37,-3.01,-4.80,-9.10,-2.97,-5.60,-4.01,-4.07,-5.82,0.00,-1.34
-21.17,-11.29,-6.98,-19.71,-7.19,-11.24,-0.04,-11.57,2.18,-6.33,1.13,-4.56,-5.49,-11.27,-3.11,-6.63,-5.13,-5.44,-5.36,0.00,-1.94
-20.96,-11.55,-6.51,-21.01,-6.68,-11.16,0.95,-15.12,3.02,-8.90,2.21,-5.80,-4.56,-13.42,-2.56,-7.89,-5.31,-6.75,-5.30,0.00,-1.94
-20.68,-12.09,-6.05,-21.19,-6.71,-10.19,1.02,-15.61,2.91,-9.77,2.69,-6.06,-3.95,-13.34,-2.22,-8.29,-5.39,-6.64,-5.40,0.00,-1.64
-19.79,-12.13,-5.92,-20.90,-6.43,-9.55,1.60,-14.31,3.17,-9.62,2.61,-6.35,-3.38,-13.23,-1.99,-8.48,-5.29,-6.67,-5.54,0.00,-1.51
-17.95,-11.10,-4.99,-19.91,-5.44,-9.60,2.81,-15.79,4.95,-9.89,3.32,-6.61,-2.30,-13.62,-1.12,-8.28,-4.48,-6.92,-5.24,0.00,-1.45
-16.77,-10.56,-3.69,-18.67,-4.63,-9.66,4.02,-15.59,6.45,-9.33,4.41,-6.03,-0.78,-12.49,0.61,-7.54,-3.35,-5.52,-5.43,0.00,-0.71
-17.72,-12.09,-4.33,-18.87,-5.09,-10.70,5.38,-12.57,7.52,-8.36,4.82,-5.38,1.03,-10.69,2.04,-6.39,-1.91,-3.37,-6.66,0.00,0.29
-20.29,-14.10,-7.12,-19.82,-6.15,-12.14,6.69,-9.39,7.70,-8.13,4.65,-4.74,2.17,-9.38,2.75,-5.69,-1.15,-1.77,-8.48,0.00,0.96
-23.73,-16.07,-10.04,-20.60,-7.68,-13.18,7.29,-6.66,7.51,-7.88,4.07,-4.63,2.41,-7.70,3.11,-4.97,-1.08,-0.56,-9.48,0.00,1.22
-24.15,-17.42,-10.55,-21.35,-7.99,-13.84,8.19,-3.57,7.81,-7.01,4.16,-4.69,3.18,-6.15,3.86,-4.60,-0.20,0.33,-9.90,0.00,1.78
-21.63,-17.29,-7.39,-21.96,-7.13,-14.04,9.31,-0.64,8.94,-6.12,4.65,-4.38,4.24,-5.04,4.63,-4.38,0.33,1.31,-10.30,0.00,2.13
-18.88,-14.73,-3.22,-20.97,-5.90,-13.04,13.02,2.89,11.41,-4.30,5.65,-3.61,6.85,-4.22,5.70,-3.75,1.80,2.89,-9.72,0.00,2.31
-17.93,-11.10,-0.45,-18.40,-4.99,-11.18,16.69,3.60,13.54,-2.72,6.47,-3.03,9.15,-3.18,6.55,-3.33,3.70,4.15,-8.74,0.00,2.64
-17.84,-8.96,0.47,-15.25,-4.46,-9.71,17.17,1.34,13.49,-1.99,6.67,-2.70,9.66,-1.92,6.51,-3.10,4.38,5.37,-8.00,0.00,3.10
-16.55,-9.09,2.28,-16.61,-3.78,-10.97,18.38,-0.47,14.64,-3.50,6.94,-3.82,10.64,-2.78,6.92,-4.02,4.94,4.96,-8.23,0.00,3.52
-15.29,-9.06,4.66,-18.62,-2.82,-12.20,20.49,-1.64,16.57,-4.96,8.12,-4.68,12.01,-4.10,7.88,-4.89,5.90,4.14,-8.11,0.00,3.88
-14.61,-8.16,5.00,-17.44,-2.62,-12.75,20.85,-3.05,17.30,-5.52,8.83,-4.76,12.71,-4.61,8.68,-4.83,6.84,4.13,-7.67,0.00,3.94
-14.73,-7.91,4.14,-16.19,-3.27,-13.54,19.88,-4.44,16.43,-4.97,8.53,-4.80,12.11,-4.22,8.63,-4.62,7.15,4.68,-7.93,0.00,3.61
-15.83,-8.58,3.08,-15.62,-3.96,-13.66,19.57,-3.13,15.55,-4.09,7.71,-4.89,12.26,-3.36,8.36,-4.46,7.56,5.51,-8.57,0.00,3.25
-17.34,-10.35,2.59,-15.71,-4.49,-13.36,18.82,0.88,15.26,-3.48,6.53,-4.83,12.77,-2.09,8.03,-4.09,8.53,6.83,-9.40,0.00,2.57
-18.46,-11.40,1.90,-15.02,-4.75,-12.34,16.81,4.72,14.30,-2.81,5.39,-4.29,11.92,-0.73,6.77,-4.08,8.74,7.49,-9.16,0.00,1.78
-19.33,-12.12,0.54,-16.21,-5.64,-12.88,15.84,6.14,13.09,-2.88,4.59,-4.42,12.00,0.82,6.35,-3.78,9.36,8.93,-9.06,0.00,1.63
-18.81,-10.98,-0.14,-17.19,-5.23,-13.22,16.78,3.12,11.96,-3.34,3.78,-5.03,12.85,0.24,6.72,-3.96,9.80,8.87,-8.54,0.00,1.41
-17.84,-9.31,-0.79,-17.69,-4.62,-12.89,18.60,1.67,11.13,-2.56,3.33,-4.64,13.33,0.42,7.57,-3.54,10.76,9.33,-7.67,0.00,2.06
-17.31,-9.08,-1.99,-18.20,-4.60,-12.68,18.10,1.84,9.29,-2.25,2.85,-4.02,12.85,1.42,7.49,-2.62,11.26,10.47,-6.89,0.00,2.80
-17.35,-8.64,-3.69,-18.15,-5.02,-11.99,16.35,2.56,7.00,-2.13,1.82,-3.66,12.27,2.51,7.27,-1.76,11.94,11.65,-6.29,0.00,3.28
-18.35,-8.14,-5.52,-18.24,-6.40,-11.57,15.62,1.34,5.04,-3.08,0.47,-3.42,12.20,2.77,6.86,-1.42,12.66,12.07,-6.04,0.00,3.37
-18.37,-7.75,-7.01,-18.15,-7.62,-11.60,12.69,0.14,3.21,-3.49,-1.21,-3.40,9.92,2.73,5.65,-1.64,11.01,11.46,-6.52,0.00,2.65
-17.06,-7.84,-7.49,-17.29,-7.98,-10.91,9.05,0.57,2.11,-2.71,-2.20,-2.47,7.36,3.77,4.70,-1.05,9.44,11.63,-6.41,0.00,2.06
-16.51,-7.54,-8.28,-17.51,-8.37,-10.74,8.11,2.02,1.52,-2.08,-2.39,-2.24,7.05,4.19,4.80,-0.65,9.61,11.73,-6.67,0.00,2.84
-17.04,-6.78,-8.75,-17.32,-8.46,-10.67,7.40,3.13,0.34,-1.75,-2.57,-2.26,7.31,3.82,4.56,-0.47,9.57,11.69,-7.12,0.00,3.61
-18.21,-7.49,-9.25,-16.87,-8.57,-10.44,6.75,3.80,-1.14,-1.63,-2.71,-2.30,6.66,4.22,4.12,-0.29,9.02,11.54,-7.66,0.00,3.53
-18.31,-8.57,-9.65,-17.51,-8.43,-9.93,6.48,3.50,-2.01,-1.82,-3.07,-2.19,5.70,4.59,3.67,-0.02,8.60,11.52,-7.87,0.00,2.83
-19.08,-9.36,-10.32,-18.88,-8.70,-9.95,7.80,1.54,-1.94,-2.68,-3.33,-1.89,5.42,4.28,3.48,0.65,8.38,11.61,-8.03,0.00,2.29
-21.01,-10.27,-11.48,-19.44,-9.33,-10.21,8.95,0.55,-2.06,-2.30,-3.41,-1.29,5.71,4.63,3.69,1.39,9.10,12.11,-8.53,0.00,2.64
-22.54,-11.12,-12.32,-19.70,-10.02,-10.49,8.01,2.10,-3.02,-0.76,-3.58,-0.67,5.29,6.40,3.94,1.94,9.89,12.65,-9.35,0.00,3.39
-22.25,-11.66,-12.40,-19.35,-10.00,-10.49,5.69,3.28,-3.33,0.22,-3.65,-0.15,4.21,7.23,3.76,1.71,9.68,12.12,-9.38,0.00,3.99
-21.13,-10.77,-12.17,-17.15,-9.57,-9.37,4.05,4.99,-2.77,1.79,-3.38,0.34,3.66,8.07,3.80,1.78,9.71,11.91,-8.46,0.00,4.79
-20.62,-9.71,-11.55,-11.98,-9.28,-7.21,3.57,4.83,-1.79,3.23,-3.23,0.86,3.29,8.51,3.59,1.59,8.97,11.35,-7.80,0.00,4.67
-20.42,-9.32,-10.47,-11.59,-8.67,-7.21,2.72,5.27,-1.89,3.90,-2.83,0.20,2.96,8.28,3.82,1.42,8.17,10.99,-7.73,0.00,4.26
-20.46,-9.13,-10.51,-15.03,-8.38,-9.01,2.40,7.80,-1.73,4.26,-2.29,-0.62,2.99,7.70,4.44,1.42,8.11,11.09,-8.25,0.00,4.34
-20.07,-7.88,-9.98,-16.73,-7.74,-8.84,3.90,8.08,-0.32,4.19,-1.49,-0.49,3.71,6.96,4.83,1.62,7.87,10.40,-8.00,0.00,4.66
-19.15,-7.22,-8.88,-17.21,-7.08,-7.16,5.54,6.79,1.73,4.22,-0.56,0.43,4.33,6.83,4.88,2.11,6.81,10.29,-6.55,0.00,4.64
-18.46,-7.15,-7.11,-17.90,-6.57,-6.48,6.98,4.94,3.77,3.28,0.01,0.59,4.61,5.92,4.70,2.21,5.55,9.39,-5.32,0.00,4.14
-18.75,-8.16,-6.78,-19.02,-6.44,-6.96,7.45,3.55,4.20,1.69,0.33,0.00,4.11,4.48,3.99,1.67,3.86,7.72,-5.09,0.00,3.02
-18.08,-8.82,-7.14,-19.70,-5.99,-7.32,7.70,0.88,4.67,0.21,1.12,-0.38,2.75,3.15,3.26,0.25,1.96,6.01,-5.06,0.00,2.20
-17.51,-9.11,-7.88,-20.70,-6.12,-7.92,9.01,-3.62,5.49,-1.32,1.94,-0.92,1.95,1.37,2.46,-0.97,0.45,4.56,-5.59,0.00,1.55
-18.51,-8.60,-8.72,-20.12,-5.95,-7.77,9.91,-7.94,5.78,-1.82,2.36,-1.11,1.42,-0.21,1.69,-1.70,-0.95,3.16,-5.90,0.00,1.26
-19.99,-7.45,-9.09,-18.11,-6.16,-6.79,7.85,-9.52,4.39,-1.11,1.89,-0.70,-0.13,-1.11,0.59,-1.92,-3.02,1.37,-6.14,0.00,0.38
-19.03,-5.72,-8.27,-15.25,-6.07,-5.33,2.59,-7.85,2.80,0.12,1.15,-0.47,-3.09,-0.91,-0.91,-2.10,-5.66,-0.16,-5.59,0.00,-1.31
-17.13,-4.22,-6.18,-13.80,-5.02,-4.18,-0.35,-5.01,2.64,0.77,1.18,-0.50,-5.23,-0.93,-1.61,-2.78,-7.58,-1.64,-4.51,0.00,-2.62
-15.86,-3.55,-5.20,-14.47,-4.12,-4.43,-1.48,-3.55,2.12,-0.17,0.95,-0.70,-6.30,-1.66,-2.11,-3.74,-9.26,-2.77,-4.69,0.00,-4.29
-16.08,-4.28,-4.98,-15.76,-4.40,-5.65,-2.09,-1.81,1.66,-1.45,0.89,-1.23,-6.82,-1.82,-2.31,-4.43,-9.91,-3.07,-5.04,0.00,-5.07
-16.67,-5.65,-4.36,-16.67,-4.49,-6.99,-2.73,0.29,1.83,-1.63,1.64,-1.66,-7.12,-1.61,-2.31,-4.81,-9.99,-2.76,-4.94,0.00,-4.93
-15.96,-5.94,-2.69,-17.89,-3.74,-7.69,-2.48,2.20,3.21,-1.94,2.73,-2.29,-6.65,-2.70,-1.88,-5.49,-10.37,-3.03,-4.83,0.00,-4.51
-14.23,-4.93,-0.74,-18.24,-2.57,-7.52,-1.03,3.28,5.45,-1.93,3.54,-3.41,-5.57,-4.22,-1.46,-6.50,-10.40,-4.07,-4.96,0.00,-4.12
-13.06,-3.77,0.68,-17.51,-1.43,-7.35,0.36,3.37,7.54,-1.81,3.82,-4.63,-4.94,-4.79,-1.76,-7.14,-10.54,-5.22,-5.18,0.00,-3.61
-12.13,-3.06,2.25,-16.01,-0.24,-6.78,1.77,5.25,8.92,-1.09,4.52,-4.58,-4.30,-3.81,-1.10,-6.79,-9.93,-5.10,-4.78,0.00,-2.95
-11.16,-3.11,2.97,-15.26,0.11,-6.54,0.90,7.78,8.73,-0.54,4.68,-4.26,-4.32,-3.19,-0.41,-6.53,-10.12,-4.95,-4.44,0.00,-2.50
-10.80,-3.55,3.27,-14.96,-0.05,-6.22,-0.04,8.91,8.09,0.20,4.69,-4.10,-3.80,-3.04,0.16,-6.23,-9.91,-4.89,-4.77,0.00,-1.79
-11.19,-4.78,3.55,-15.52,-0.35,-6.65,-0.13,6.20,7.83,-0.77,4.62,-5.18,-3.60,-4.83,0.15,-7.14,-9.73,-6.27,-5.87,0.00,-1.45
-10.71,-4.48,4.16,-14.82,0.04,-6.43,0.14,2.84,8.40,-1.96,5.27,-5.91,-2.92,-5.79,0.49,-7.77,-8.88,-6.96,-6.20,0.00,-1.17
-10.10,-3.54,3.96,-13.57,-0.04,-5.99,0.80,2.68,8.91,-2.11,6.27,-5.86,-1.50,-5.05,1.13,-7.35,-7.36,-6.35,-6.13,0.00,-0.78
-9.01,-2.81,4.70,-13.20,0.22,-5.18,1.64,6.43,9.48,-1.31,6.83,-5.15,-0.69,-4.19,1.69,-6.99,-7.04,-6.09,-5.87,0.00,-0.82
-7.35,-2.11,5.85,-12.63,1.13,-4.34,4.93,8.28,11.28,-1.53,7.63,-4.59,1.52,-4.73,2.96,-6.88,-5.42,-5.50,-5.34,0.00,-0.52
-6.65,-1.38,6.68,-11.26,2.08,-3.64,7.20,5.75,12.47,-1.34,7.98,-3.89,4.32,-5.23,4.35,-6.45,-3.06,-3.67,-4.81,0.00,0.35
-6.80,-0.83,7.45,-10.71,2.51,-3.45,6.41,2.29,11.98,-0.46,7.98,-3.62,3.95,-5.29,4.28,-6.26,-2.89,-2.80,-4.54,0.00,0.52
-7.42,-1.02,8.38,-10.83,2.46,-3.49,5.96,-2.08,11.78,-0.98,7.94,-4.58,2.71,-6.86,3.65,-7.00,-4.69,-3.54,-4.75,0.00,-0.17
-8.05,-1.47,7.97,-10.97,1.86,-4.46,6.46,-2.13,11.02,-1.89,7.41,-5.90,2.10,-7.85,3.17,-7.51,-5.57,-4.03,-5.39,0.00,-0.68
-7.73,-0.52,7.27,-10.33,0.93,-4.25,7.50,2.11,10.70,-1.58,7.03,-5.69,3.15,-7.02,3.72,-7.03,-4.22,-2.57,-4.98,0.00,-0.18
-6.79,0.72,7.21,-9.29,1.29,-2.72,9.10,7.87,11.04,0.40,7.47,-4.13,4.94,-4.77,5.11,-5.39,-1.47,0.43,-3.32,0.00,0.94
-7.19,0.77,6.03,-7.80,0.87,-0.71,9.00,11.83,10.16,1.95,7.03,-2.71,4.90,-3.21,5.17,-4.19,-0.17,2.16,-2.46,0.00,0.83
-7.99,0.79,5.55,-8.56,0.70,-0.59,8.09,12.11,9.17,1.68,6.03,-2.23,4.29,-2.06,4.35,-3.82,0.41,3.02,-2.37,0.00,0.35
-8.27,0.49,5.86,-10.19,0.71,-1.84,8.43,11.71,9.12,1.23,5.50,-2.51,4.35,-2.17,3.81,-4.34,1.16,2.88,-2.87,0.00,-0.67
-8.11,0.46,6.05,-9.59,1.04,-2.15,10.38,6.96,10.15,1.40,5.30,-2.13,6.10,-2.74,4.23,-4.43,3.26,3.29,-2.41,0.00,-1.13
-7.99,0.42,5.79,-8.02,1.10,-1.39,12.74,2.40,11.32,2.14,5.14,-1.17,8.49,-2.41,4.82,-3.91,5.10,4.61,-1.21,0.00,-0.84
-6.92,2.03,6.00,-5.34,1.74,0.63,13.97,3.34,11.29,3.99,5.22,0.26,9.49,-0.62,5.19,-2.55,6.09,6.42,-0.07,0.00,-0.20
-5.63,4.13,6.10,-3.86,2.11,2.53,15.41,8.93,12.01,6.27,5.49,1.86,10.20,2.07,5.69,-0.83,7.38,8.22,0.62,0.00,1.08
-4.43,6.14,6.18,-2.49,2.47,4.34,17.11,15.49,12.71,8.34,5.64,3.57,11.66,5.12,7.05,1.67,9.90,10.59,1.44,0.00,2.50
-3.34,7.15,6.12,-0.73,2.17,5.52,16.58,17.71,12.73,9.00,5.03,3.97,12.25,6.84,7.56,3.22,10.86,12.20,1.95,0.00,2.67
-3.21,7.61,6.11,1.42,1.72,5.83,15.97,14.41,12.53,8.92,4.96,3.98,13.47,6.93,8.36,3.60,11.76,13.09,2.12,0.00,2.68
-3.14,8.67,6.40,1.21,1.59,5.38,14.76,11.66,11.86,8.70,5.89,4.07,14.47,7.07,9.31,3.87,12.63,14.28,1.97,0.00,2.87
-2.91,9.61,6.97,-0.16,1.68,4.33,13.46,10.40,10.78,9.22,6.77,4.47,14.32,7.86,10.00,4.46,13.24,15.60,2.14,0.00,3.39
-3.37,9.37,5.97,-0.62,1.23,3.87,11.44,11.15,8.64,9.97,6.30,5.48,13.58,9.48,10.29,5.93,14.37,17.14,2.40,0.00,4.14
-4.42,8.36,3.82,-0.97,0.52,3.71,8.70,14.14,6.71,10.96,5.08,6.32,11.89,11.59,10.15,8.01,14.62,18.06,2.70,0.00,5.21
-7.63,5.59,0.60,-2.53,-0.92,2.13,6.83,15.14,5.24,11.15,4.21,6.80,10.95,12.99,9.89,9.41,14.55,18.77,1.86,0.00,6.05
-11.21,1.72,-1.35,-4.24,-2.36,0.15,7.49,16.37,5.27,10.48,3.89,6.90,11.43,13.28,10.29,10.35,15.19,19.33,0.07,0.00,7.24
-14.09,-2.04,-2.88,-6.47,-3.94,-2.21,8.23,13.76,5.12,7.59,3.57,5.74,11.44,12.26,10.25,9.89,15.55,19.57,-2.30,0.00,7.15
-14.47,-3.73,-3.06,-8.31,-4.57,-3.29,8.13,9.25,4.95,3.79,3.18,3.94,10.41,9.40,9.41,8.21,14.34,18.36,-3.78,0.00,6.38
-14.06,-3.84,-2.69,-9.86,-4.42,-3.54,6.44,4.26,4.47,1.00,2.90,2.86,7.81,6.21,7.82,5.96,11.48,15.45,-4.29,0.00,4.86
-14.36,-4.25,-3.06,-11.76,-4.36,-4.03,6.12,0.05,3.96,0.44,2.98,2.40,6.73,4.90,7.75,4.97,10.39,13.85,-4.57,0.00,4.28
-15.90,-5.10,-4.62,-12.92,-5.27,-4.44,6.97,-0.02,3.45,1.85,3.23,2.46,7.80,6.57,8.94,5.53,11.35,14.71,-5.17,0.00,5.31
-18.12,-6.39,-5.73,-13.70,-6.39,-5.29,8.05,1.65,3.66,3.07,3.45,2.52,8.91,7.74,10.07,6.17,12.83,15.73,-5.76,0.00,6.21
-19.44,-7.78,-6.31,-14.60,-6.91,-6.38,8.51,3.54,4.32,3.85,3.69,2.68,9.50,8.33,10.24,6.67,13.79,16.75,-6.38,0.00,6.66
-19.90,-9.68,-6.34,-15.68,-6.93,-7.68,10.43,4.76,5.56,3.55,3.71,2.71,10.52,8.49,10.61,6.80,14.17,17.08,-7.16,0.00,7.56
-18.57,-10.12,-5.48,-15.91,-6.24,-7.96,12.07,5.46,6.82,3.22,3.75,3.08,10.39,8.31,10.32,6.53,13.11,15.97,-7.35,0.00,7.88
-18.02,-9.61,-4.65,-15.59,-6.31,-7.59,12.98,4.86,7.45,2.69,3.70,2.65,9.55,7.41,9.62,5.70,11.37,14.20,-7.14,0.00,7.26
-18.26,-9.14,-3.93,-15.61,-6.61,-7.27,14.83,4.34,8.59,1.71,3.64,1.97,10.08,6.73,9.08,5.26,11.07,13.46,-7.10,0.00,6.34
-19.50,-9.88,-4.64,-16.50,-7.04,-7.73,15.72,6.87,9.26,1.51,3.57,1.14,10.90,7.49,8.60,5.39,11.60,14.19,-7.66,0.00,6.60
-19.34,-9.24,-4.83,-16.65,-6.73,-7.66,15.92,7.84,9.79,0.86,3.27,0.05,10.64,6.52,8.26,4.68,10.83,13.65,-7.87,0.00,6.08
-18.54,-7.97,-4.94,-15.59,-6.42,-7.12,16.08,8.50,9.68,0.93,2.83,-0.50,10.53,5.66,8.04,4.57,10.00,13.45,-7.27,0.00,5.40
-17.51,-6.97,-4.35,-13.91,-5.86,-6.03,15.31,6.94,9.55,1.68,2.76,-0.61,9.82,4.05,7.20,3.27,7.80,11.49,-6.11,0.00,4.39
-17.08,-6.46,-3.98,-13.02,-6.03,-5.36,13.94,2.98,8.83,1.47,2.81,-0.82,9.07,2.42,6.31,1.96,5.97,9.00,-5.44,0.00,3.10
-17.34,-6.36,-4.15,-13.06,-6.38,-5.21,12.98,-1.09,8.29,0.67,2.77,-1.43,8.30,1.19,5.89,0.79,4.21,6.40,-5.39,0.00,1.93
-17.61,-6.74,-4.13,-13.64,-6.57,-5.24,13.62,-0.86,9.07,0.15,2.90,-2.03,8.52,0.96,5.70,-0.06,3.69,4.98,-5.58,0.00,1.16
-17.04,-6.81,-3.22,-13.62,-6.10,-5.25,15.39,1.77,11.16,-0.24,3.86,-1.74,9.88,1.61,6.16,-0.67,4.14,4.99,-5.66,0.00,1.32
-16.39,-6.15,-1.33,-11.20,-5.26,-3.82,18.26,2.89,13.66,0.28,5.17,-0.74,11.17,2.98,6.65,-0.46,4.96,5.95,-5.01,0.00,2.04
-14.70,-5.13,1.41,-12.25,-3.93,-3.86,20.97,1.59,15.80,-0.35,6.18,-1.02,11.63,2.41,6.93,-0.37,5.13,5.76,-4.04,0.00,2.04
-11.26,-2.25,3.83,-13.31,-2.14,-4.00,21.47,1.30,17.01,-1.01,6.42,-1.89,11.19,1.09,6.87,-0.59,4.23,4.15,-3.30,0.00,1.11
-8.27,0.07,4.67,-13.19,-1.31,-3.52,18.88,2.71,16.01,-1.19,5.50,-1.89,9.26,1.22,6.05,-0.79,2.89,2.66,-2.75,0.00,-0.34
-7.38,0.72,4.24,-12.01,-0.85,-2.89,15.56,4.15,13.84,-0.54,4.37,-1.69,6.89,1.96,4.47,-1.02,1.26,1.80,-2.03,0.00,-1.12
-9.38,0.58,3.87,-10.17,-0.71,-2.03,14.67,4.18,13.04,0.60,3.88,-0.98,5.27,2.61,3.49,-0.87,0.02,1.33,-1.74,0.00,-1.41
